UN-Nummer;Benennung und Beschreibung;Klasse;Klassifizierungscode;Verpackungsgruppe;Gefahrzettel;Sondervorschriften;Begrenzte und freigestellte Mengen A;Begrenzte und freigestellte Mengen B;Verpackung_Anweisungen;Verpackung_Sondervorschriften;Verpackung_Zusammenpackung;Tank_Anweisungen;Tank_Sondervorschriften;ADR-Tanks_Tankcodierung;ADR-Tanks_Sondervorschriften;Fahrzeug_Befoerderung_Tanks;Befoerderungskategorie;Sondervorschriften_Versandstuecke;Sondervorschriften_SchuettGut;Sondervorschriften_Handhabung;Sondervorschriften_Betrieb;Nummer_Gefahr
0015;MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung, mit ätzenden Stoffen;1;1.2G;-;1+8;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0015;MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung, mit beim Einatmen giftigen Stoffen;1;1.2G;-;1+6.1;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3 CV28;S1;-
0016;MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung;1;1.3G;-;1;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0016;MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung, mit ätzenden Stoffen;1;1.3G;-;1+8;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0016;MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung, mit beim Einatmen giftigen Stoffen;1;1.3G;-;1+6.1;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3 CV28;S1;-
0018;MUNITION, AUGENREIZSTOFF, mit Zerleger, Ausstoss- oder Treibladung;1;1.2G;-;1+6.1 +8;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3 CV28;S1;-
0019;MUNITION, AUGENREIZSTOFF, mit Zerleger, Ausstoss- oder Treibladung;1;1.3G;-;1+6.1 +8;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3 CV28;S1;-
0020;MUNITION, GIFTIG, mit Zerleger, Ausstoss- oder Treibladung;1;1.2K;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN
0021;MUNITION, GIFTIG, mit Zerleger, Ausstoss- oder Treibladung;1;1.3K;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN;BEFÖRDERUNG VERBOTEN
0027;SCHWARZPULVER, gekörnt oder in Mehlform;1;1.1D;-;1;-;0;E0;P113;PP50;MP20 MP24;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0028;SCHWARZPULVER, GEPRESST oder als PELLETS;1;1.1D;-;1;-;0;E0;P113;PP51;MP20 MP24;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0029;SPRENGKAPSELN, NICHT ELEKTRISCH;1;1.1B;-;1;-;0;E0;P131;PP68;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0030;SPRENGKAPSELN, ELEKTRISCH;1;1.1B;-;1;-;0;E0;P131;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0033;BOMBEN, mit Sprengladung;1;1.1F;-;1;-;0;E0;P130 LP101;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0034;BOMBEN, mit Sprengladung;1;1.1D;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0035;BOMBEN, mit Sprengladung;1;1.2D;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0037;BOMBEN, BLITZLICHT;1;1.1F;-;1;-;0;E0;P130 LP101;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0038;BOMBEN, BLITZLICHT;1;1.1D;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0039;BOMBEN, BLITZLICHT;1;1.2G;-;1;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0042;ZÜNDVERSTÄRKER, ohne Detonator;1;1.1D;-;1;-;0;E0;P132a P132b;-;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0043;ZERLEGER, mit Explosivstoff;1;1.1D;-;1;-;0;E0;P133;PP69;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0044;ANZÜNDHÜTCHEN;1;1.4S;-;1.4;-;0;E0;P133;-;MP23 MP24;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0048;SPRENGKÖRPER;1;1.1D;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0049;PATRONEN, BLITZLICHT;1;1.1G;-;1;-;0;E0;P135;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0050;PATRONEN, BLITZLICHT;1;1.3G;-;1;-;0;E0;P135;-;MP23;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0054;PATRONEN, SIGNAL;1;1.3G;-;1;-;0;E0;P135;-;MP23 MP24;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0055;TREIBLADUNGSHÜLSEN, LEER, MIT TREIBLADUNGSANZÜNDER;1;1.4S;-;1.4;364;5 kg;E0;P136;-;MP23;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0056;WASSERBOMBEN;1;1.1D;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0059;HOHLLADUNGEN, ohne Zündmittel;1;1.1D;-;1;-;0;E0;P137;PP70;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0060;FÜLLSPRENGKÖRPER;1;1.1D;-;1;-;0;E0;P132a P132b;-;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0065;SPRENGSCHNUR, biegsam;1;1.1D;-;1;-;0;E0;P139;PP71 PP72;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0066;ANZÜNDLITZE;1;1.4G;-;1.4;-;0;E0;P140;-;MP23;-;-;-;-;-;2 (E);V2;-;CV1 CV2 CV3;S1;-
0070;SCHNEIDVORRICHTUNGEN, KABEL, MIT EXPLOSIVSTOFF;1;1.4S;-;1.4;-;0;E0;P134 LP102;-;MP23;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0072;CYCLOTRIMETHYLENTRINITRAMIN (CYCLONIT), (HEXOGEN), (RDX), ANGEFEUCHTET mit mindestens 15 Masse-% Wasser;1;1.1D;-;1;266;0;E0;P112a;PP45;MP20;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0073;DETONATOREN FÜR MUNITION;1;1.1B;-;1;-;0;E0;P133;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0074;DIAZODINITROPHENOL, ANGEFEUCHTET mit mindestens 40 Masse-% Wasser oder einer Alkohol/Wasser-Mischung;1;1.1A;-;1;266;0;E0;P110b;PP42;MP20;-;-;-;-;-;0 (B);V2;-;CV1 CV2 CV3;S1;-
0075;DIETHYLENGLYCOLDINITRAT, DESENSIBILISIERT, mit mindestens 25 Masse-% nicht flüchtigem, wasserunlöslichem Phlegmatisierungsmittel;1;1.1D;-;1;266;0;E0;P115;PP53 PP54 PP57 PP58;MP20;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0076;DINITROPHENOL, trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser;1;1.1D;-;1+6.1;-;0;E0;P112a P112b P112c;PP26;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3 CV28;S1;-
0077;DINITROPHENOLATE der Alkalimetalle, trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser;1;1.3C;-;1+6.1;-;0;E0;P114a P114b;PP26;MP20;-;-;-;-;-;1 (C5000D);V2 V3;-;CV1 CV2 CV3 CV28;S1;-
0078;DINITRORESORCINOL, trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser;1;1.1D;-;1;-;0;E0;P112a P112b P112c;PP26;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0079;HEXANITRODIPHENYLAMIN (DIPIKRYLAMIN), (HEXYL);1;1.1D;-;1;-;0;E0;P112b P112c;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0081;SPRENGSTOFF, TYP A;1;1.1D;-;1;616 617;0;E0;P116;PP63 PP66;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0082;SPRENGSTOFF, TYP B;1;1.1D;-;1;617;0;E0;P116 IBC100;PP61 PP62 B9;MP20;-;-;-;-;-;1 (B1000C);V2 V3 V12;-;CV1 CV2 CV3;S1;-
0083;SPRENGSTOFF, TYP C;1;1.1D;-;1;267 617;0;E0;P116;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0084;SPRENGSTOFF, TYP D;1;1.1D;-;1;617;0;E0;P116;-;MP20;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0092;LEUCHTKÖRPER, BODEN;1;1.3G;-;1;-;0;E0;P135;-;MP23;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0093;LEUCHTKÖRPER, LUFTFAHRZEUG;1;1.3G;-;1;-;0;E0;P135;-;MP23;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0094;BLITZLICHTPULVER;1;1.1G;-;1;-;0;E0;P113;PP49;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0099;LOCKERUNGSSPRENGGERÄTE MIT EXPLOSIVSTOFF, für Erdölbohrungen, ohne Zündmittel;1;1.1D;-;1;-;0;E0;P134 LP102;-;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0101;STOPPINEN, NICHT SPRENGKRÄFTIG;1;1.3G;-;1;-;0;E0;P140;PP74 PP75;MP23;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0102;SPRENGSCHNUR, mit Metallmantel;1;1.2D;-;1;-;0;E0;P139;PP71;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0103;ANZÜNDSCHNUR, rohrförmig, mit Metallmantel;1;1.4G;-;1.4;-;0;E0;P140;-;MP23;-;-;-;-;-;2 (E);V2;-;CV1 CV2 CV3;S1;-
0104;SPRENGSCHNUR MIT GERINGER WIRKUNG, mit Metallmantel;1;1.4D;-;1.4;-;0;E0;P139;PP71;MP21;-;-;-;-;-;2 (E);V2;-;CV1 CV2 CV3;S1;-
0105;ANZÜNDSCHNUR (SICHERHEITSZÜNDSCHNUR);1;1.4S;-;1.4;-;0;E0;P140;PP73;MP23;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0106;ZÜNDER, SPRENGKRÄFTIG;1;1.1B;-;1;-;0;E0;P141;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0107;ZÜNDER, SPRENGKRÄFTIG;1;1.2B;-;1;-;0;E0;P141;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0110;GRANATEN, ÜBUNG, Hand oder Gewehr;1;1.4S;-;1.4;-;0;E0;P141;-;MP23;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0113;GUANYLNITROSAMINOGUANYLIDENHYDRAZIN, ANGEFEUCHTET mit mindestens 30 Masse-% Wasser;1;1.1A;-;1;266;0;E0;P110b;PP42;MP20;-;-;-;-;-;0 (B);V2;-;CV1 CV2 CV3;S1;-
0114;GUANYLNITROSAMINOGUANYLTETRAZEN (TETRACEN), ANGEFEUCHTET mit mindestens 30 Masse-% Wasser oder einer Alkohol/Wasser-Mischung;1;1.1A;-;1;266;0;E0;P110b;PP42;MP20;-;-;-;-;-;0 (B);V2;-;CV1 CV2 CV3;S1;-
0118;HEXOLIT (HEXOTOL), trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser;1;1.1D;-;1;-;0;E0;P112a P112b P112c;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0121;ANZÜNDER;1;1.1G;-;1;-;0;E0;P142;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0124;PERFORATIONSHOHLLADUNGSTRÄGER, GELADEN, für Erdölbohrlöcher, ohne Zündmittel;1;1.1D;-;1;-;0;E0;P101;-;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0129;BLEIAZID, ANGEFEUCHTET mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung;1;1.1A;-;1;266;0;E0;P110b;PP42;MP20;-;-;-;-;-;0 (B);V2;-;CV1 CV2 CV3;S1;-
0130;BLEISTYPHNAT (BLEITRINITRORESORCINAT), ANGEFEUCHTET mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung;1;1.1A;-;1;266;0;E0;P110b;PP42;MP20;-;-;-;-;-;0 (B);V2;-;CV1 CV2 CV3;S1;-
0131;ANZÜNDER, ANZÜNDSCHNUR;1;1.4S;-;1.4;-;0;E0;P142;-;MP23;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0132;DEFLAGRIERENDE METALLSALZE AROMATISCHER NITROVERBINDUNGEN, N.A.G.;1;1.3C;-;1;274;0;E0;P114a P114b;PP26;MP2;-;-;-;-;-;1 (C5000D);V2 V3;-;CV1 CV2 CV3;S1;-
0133;MANNITOLHEXANITRAT (NITROMANNITOL), ANGEFEUCHTET mit mindestens 40 Masse-% Wasser oder einer Alkohol/Wasser-Mischung;1;1.1D;-;1;266;0;E0;P112a;-;MP20;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0135;QUECKSILBERFULMINAT, ANGEFEUCHTET mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung;1;1.1A;-;1;266;0;E0;P110b;PP42;MP20;-;-;-;-;-;0 (B);V2;-;CV1 CV2 CV3;S1;-
0136;MINEN, mit Sprengladung;1;1.1F;-;1;-;0;E0;P130 LP101;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0137;MINEN, mit Sprengladung;1;1.1D;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0138;MINEN, mit Sprengladung;1;1.2D;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0143;NITROGLYCERIN, DESENSIBILISIERT mit mindestens 40 Masse-% nicht flüchtigem, wasserunlöslichem Phlegmatisierungsmittel;1;1.1D;-;1+6.1;266 271;0;E0;P115;PP53 PP54 PP57 PP58;MP20;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3 CV28;S1;-
0144;NITROGLYCERIN, LÖSUNG IN ALKOHOL mit mehr als 1 %, aber nicht mehr als 10 % Nitroglycerin;1;1.1D;-;1;358;0;E0;P115;PP45 PP55 PP56 PP59 PP60;MP20;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0146;NITROSTÄRKE, trocken oder angefeuchtet mit weniger als 20 Masse-% Wasser;1;1.1D;-;1;-;0;E0;P112a P112b P112c;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0147;NITROHARNSTOFF;1;1.1D;-;1;-;0;E0;P112b;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0150;PENTAERYTHRITTETRANITRAT (PENTAERYTHRITOL TETRANITRAT) (PETN), ANGEFEUCHTET mit mindestens 25 Masse-% Wasser oder DESENSIBILISIERT mit mindestens 15 Masse-% Phlegmatisierungsmittel;1;1.1D;-;1;266;0;E0;P112a P112b;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0151;PENTOLIT, trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser;1;1.1D;-;1;-;0;E0;P112a P112b P112c;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0153;TRINITROANILIN (PIKRAMID);1;1.1D;-;1;-;0;E0;P112b P112c;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0154;TRINITROPHENOL (PIKRINSÄURE), trocken oder angefeuchtet mit weniger als 30 Masse-% Wasser;1;1.1D;-;1;-;0;E0;P112a P112b P112c;PP26;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0155;TRINITROCHLORBENZEN (PIKRYLCHLORID);1;1.1D;-;1;-;0;E0;P112b P112c;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0159;PULVERROHMASSE, ANGEFEUCHTET mit mindestens 25 Masse-% Wasser;1;1.3C;-;1;266;0;E0;P111;PP43;MP20;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0160;TREIBLADUNGSPULVER;1;1.1C;-;1;-;0;E0;P114b;PP50 PP52;MP20 MP24;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0161;TREIBLADUNGSPULVER;1;1.3C;-;1;-;0;E0;P114b;PP50 PP52;MP20 MP24;-;-;-;-;-;1 (C5000D);V2 V3;-;CV1 CV2 CV3;S1;-
0167;GESCHOSSE, mit Sprengladung;1;1.1F;-;1;-;0;E0;P130 LP101;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0168;GESCHOSSE, mit Sprengladung;1;1.1D;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0169;GESCHOSSE, mit Sprengladung;1;1.2D;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0171;MUNITION, LEUCHT, mit oder ohne Zerleger, Ausstoss- oder Treibladung;1;1.2G;-;1;-;0;E0;P130 LP101;PP67 L1;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0173;AUSLÖSEVORRICHTUNGEN MIT EXPLOSIVSTOFF;1;1.4S;-;1.4;-;0;E0;P134 LP102;-;MP23;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0174;SPRENGNIETE;1;1.4S;-;1.4;-;0;E0;P134 LP102;-;MP23;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0180;RAKETEN, mit Sprengladung;1;1.1F;-;1;-;0;E0;P130 LP101;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0181;RAKETEN, mit Sprengladung;1;1.1E;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0182;RAKETEN, mit Sprengladung;1;1.2E;-;1;-;0;E0;P130 LP101;PP67 L1;MP21;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0183;RAKETEN, mit inertem Kopf;1;1.3C;-;1;-;0;E0;P130 LP101;PP67 L1;MP22;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0186;RAKETENMOTOREN;1;1.3C;-;1;-;0;E0;P130 LP101;PP67 L1;MP22 MP24;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0190;EXPLOSIVSTOFF, MUSTER, ausser Initialsprengstoff;1;-;-;-;16 274;0;E0;P101;-;MP2;-;-;-;-;-;0 (E);V2;-;CV1 CV2 CV3;S1;-
0191;SIGNALKÖRPER, HAND;1;1.4G;-;1.4;-;0;E0;P135;-;MP23 MP24;-;-;-;-;-;2 (E);V2;-;CV1 CV2 CV3;S1;-
0192;KNALLKAPSELN, EISENBAHN;1;1.1G;-;1;-;0;E0;P135;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0193;KNALLKAPSELN, EISENBAHN;1;1.4S;-;1.4;-;0;E0;P135;-;MP23;-;-;-;-;-;4 (E);-;-;CV1 CV2 CV3;S1;-
0194;SIGNALKÖRPER, SEENOT;1;1.1G;-;1;-;0;E0;P135;-;MP23 MP24;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0195;SIGNALKÖRPER, SEENOT;1;1.3G;-;1;-;0;E0;P135;-;MP23 MP24;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0196;SIGNALKÖRPER, RAUCH;1;1.1G;-;1;-;0;E0;P135;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0197;SIGNALKÖRPER, RAUCH;1;1.4G;-;1.4;-;0;E0;P135;-;MP23 MP24;-;-;-;-;-;2 (E);V2;-;CV1 CV2 CV3;S1;-
0204;FALLLOTE, MIT EXPLOSIVSTOFF;1;1.2F;-;1;-;0;E0;P134 LP102;-;MP23;-;-;-;-;-;1 (B1000C);V2;-;CV1 CV2 CV3;S1;-
0207;TETRANITROANILIN;1;1.1D;-;1;-;0;E0;P112b P112c;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0208;TRINITROPHENYLMETHYLNITRAMIN (TETRYL);1;1.1D;-;1;-;0;E0;P112b P112c;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0209;TRINITROTOLUEN (TNT), trocken oder angefeuchtet mit weniger als 30 Masse-% Wasser;1;1.1D;-;1;-;0;E0;P112b P112c;PP46;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
0212;LEUCHTSPURKÖRPER FÜR MUNITION;1;1.3G;-;1;-;0;E0;P133;PP69;MP23;-;-;-;-;-;1 (C5000D);V2;-;CV1 CV2 CV3;S1;-
0213;TRINITROANISOL;1;1.1D;-;1;-;0;E0;P112b P112c;-;MP20;-;-;-;-;-;1 (B1000C);V2 V3;-;CV1 CV2 CV3;S1;-
